sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation
98,1761643731.385000,1761643731.375500,9.500,-19710.3,-328.50,391,401,-9,+1
99,1761643732.385000,1761643732.377500,7.500,-19709.3,-328.49,392,399,-8,-1
100,1761643733.387000,1761643733.378000,9.000,-19708.3,-328.47,390,399,-10,-1
101,1761643734.387000,1761643734.377500,9.500,-19707.3,-328.45,393,400,-7,+0
102,1761643735.386500,1761643735.377000,9.500,-19706.3,-328.44,389,399,-11,-1
103,1761643736.389500,1761643736.376500,13.000,-19705.3,-328.42,391,399,-9,-1
104,1761643737.384000,1761643737.376000,8.000,-19704.3,-328.40,391,400,-9,+0
105,1761643738.388000,1761643738.375500,12.500,-19703.3,-328.39,390,399,-10,-1
106,1761643739.387500,1761643739.377000,10.500,-19702.3,-328.37,390,400,-10,+0
107,1761643740.392000,1761643740.380500,11.500,-19701.3,-328.35,391,400,-9,+0
108,1761643741.389000,1761643741.378500,10.500,-19700.3,-328.34,390,399,-10,-1
109,1761643742.389500,1761643742.380500,9.000,-19699.3,-328.32,392,400,-8,+0
110,1761643743.389000,1761643743.378500,10.500,-19698.3,-328.30,394,400,-6,+0
111,1761643744.383500,1761643744.382000,1.500,-19697.3,-328.29,393,399,-7,-1
112,1761643745.389000,1761643745.382000,7.000,-19696.3,-328.27,391,399,-9,-1
113,1761643746.384500,1761643746.380500,4.000,-19695.3,-328.25,394,398,-6,-2
114,1761643747.389500,1761643747.381000,8.500,-19694.3,-328.24,393,399,-7,-1
115,1761643748.385000,1761643748.380500,4.500,-19693.3,-328.22,393,400,-7,+0
116,1761643749.390000,1761643749.384500,5.500,-19692.3,-328.20,392,399,-8,-1
117,1761643750.387000,1761643750.381500,5.500,-19691.3,-328.19,393,398,-7,-2
118,1761643751.390000,1761643751.381500,8.500,-19690.3,-328.17,392,399,-8,-1
119,1761643752.387000,1761643752.382000,5.000,-19689.3,-328.15,392,401,-8,+1
120,1761643753.391500,1761643753.383500,8.000,-19688.3,-328.14,392,400,-8,+0
121,1761643754.386000,1761643754.384000,2.000,-19687.3,-328.12,394,400,-6,+0
122,1761643755.392500,1761643755.388500,4.000,-19686.3,-328.10,393,398,-7,-2
123,1761643756.387000,1761643756.387500,0.500,-19685.3,-328.09,394,398,-6,-2
124,1761643757.389500,1761643757.384000,5.500,-19684.3,-328.07,393,400,-7,+0
